Pub date,Pub time,Title,Article text,Comment Number
2019-09-07,22:32,Альбина Джанабаева ушла от Меладзе,"Она прекратила сотрудничество с продюсером, который проложил ей дорогу в шоу-биз.<img src=""//static.zakon.kz/uploads/posts/2019-09/pic_690/2019090722323655651_62231154_916241325374624_691251422270853.jpg"">
Российская исполнительница Альбина Джанабаева ушла от своего продюсера Константина Меладзе. Об этом сообщает издание ""СтарХит"". Джанабаева тесно сотрудничала с Константином Меладзе с 2004 года. Певица сообщила поклонникам, что прекратила работу с именитым продюсером, который проложил для нее дорогу в мир шоу-бизнеса. ""Друзья, я получила ценный опыт, работая в составе группы ""ВИА Гра"", после которой начала сольную карьеру. Это дало мне возможность расширить свой круг другими авторами, найти единомышленников и свою команду, а главное — узнать себя с новой стороны. Я благодарна тем годам и Константину Меладзе. Безмерно уважаю! Но уже с февраля 2018 года я веду сотрудничество с менеджмент-компанией GoldenLook. Здесь созданы и записаны песни ""Спасибо, сердце"", ""Хочешь"", ремейк ""Самба белого мотылька"", ""День и ночь"", ""Такая, как есть"", а в скором времени ожидаются новые хиты, обложки, интервью, съемки... Да, моя работа с продюсерским центром Меладзе прекращена. Давайте уйдем от обсуждений и продолжим наслаждаться новой песней"", — поделилась 40-летняя звезда, не желая делиться подробностями взаимоотношений с экс-наставником. Также остается загадкой то, как на поступок Альбины отреагировал ее супруг Валерий Меладзе, который приходится продюсеру родным братом. К слову, многие пользователи Сети все же поддержали певицу. ""Круто, вот это поворот. Не будем обсуждать и осуждать. Вы многосторонняя, многогранная, у вас все получается, вот и оставайтесь такой"", — отметила одна из подписчиц. В ""ВИА Гре"" Джанабаева солировала девять лет. С 2013 года певица покинула трио и начала строить сольную карьеру. Год спустя она вышла замуж за Валерия Меладзе. Роман артистов начался задолго до их свадьбы и вылился в рождение первенца Константина. Второго сына Луку Альбина родила уже в браке со звездой. Уход Валерия из первой семьи стал бурно обсуждаемой темой, Джанабаеву осуждали и называли разлучницей. Первую супругу исполнителя Ирину жалели и утешали. - Я почувствовала, что происходит нечто плохое, за два года до окончательного разрыва. Валера отказывался разговаривать, хотя я и пыталась выяснить причину перемен в его поведении. А однажды он просто сорвался и все рассказал, но не стал называть ее имени, — рассказывала экс-жена Меладзе.",0
2019-09-07,22:21,Казахстанская команда вышла в финал ЧМ по Counter Strike,"AVANGAR предстоит побороться за призовой фонд в миллион долларов.<img src=""//static.zakon.kz/uploads/posts/2019-09/pic_690/2019090722212582075_200065_ccab246e921be2a11bc053947554f0af.jpg"">
Казахстанская команда AVANGAR вышла в финал турнира по Counter Strike: Global Offensive (CS:GO) StarLadder Berlin Major с призовым фондом миллион долларов, передает Zakon.kz. Казахстанцы обыграли австралийскую команду Renegades. Ранее AVANGAR сенсационно вышел в плей-офф. До этого казахстанцы попадали лишь в ТОП-16 турнира. Финал состоится в Берлине 8 сентября. В соревнованиях принимают участие 120 геймеров из 24 сильнейших команд мира. В составе AVANGAR выступают трое казахстанцев - Даурен Кыстаубаев, Айдын Турлыбеков, Тимур Тулепов и Алексей Голубев, а также представитель Узбекистана Санжар Кулиев. Капитаном является россиянин Али Джами.  .@avangarkz reign supreme over @Renegades 2-0 22:19 on Mirage16:6 on Dust2 #BerlinMajor pic.twitter.com/PZm7xz1iBo — HLTV.org (@HLTVorg) September 7, 2019",0
2019-09-07,22:03,"Зеленский рассказал о ""самом сложном в президентстве"" разговоре с Путиным","Возвращение задержанных граждан Зеленский назвал ""первым этапом по прекращению войны в Донбассе"".<img src=""//static.zakon.kz/uploads/posts/2019-09/pic_690/2019090722031320120_1024567608.jpg"">
Президент Украины Владимир Зеленский рассказал о разговоре с российским коллегой Владимиром Путиным, передает РИА Новости. Главы государств созвонились 7 августа. Как сообщали в Кремле, они обсудили урегулирование конфликта на юго-востоке Украины. В частности, Путин призвал украинскую сторону прекратить обстрелы населенных пунктов, приводящие к жертвам среди мирного населения. Также президенты условились активизировать работу по возвращению удерживаемых лиц. Эту беседу с Путиным Зеленский позже назвал самым сложным моментом на посту главы государства. Комментируя возвращение задержанных в России украинцев, Зеленский вспомнил последний телефонный разговор с Путиным. - Мы договорились о первом этапе в разблокировании нашего диалога и первом этапе в прекращении войны - возвращении наших военных, наших пленных, - рассказал глава государства. По словам украинского лидера, во время беседы 7 августа они с Путиным решили создать рабочие группы по возвращению задержанных россиян и украинцев. - Мы договорились в течение месяца должны говорить очень предметно, работать мощно, без лжи, и вернуть наших ребят домой, - отметил президент. Возвращение задержанных граждан Зеленский назвал ""первым этапом по прекращению войны в Донбассе"". 7 сентября самолеты с освобожденными россиянами и украинцами в рамках договоренностей Москвы и Киева приземлись в российской и украинской столицах. В конце лета стороны приступили к работе по одновременному освобождению осужденных и задержанных лиц. В ходе Восточного экономического форума президент Владимир Путин отмечал, что этот вопрос решится в ближайшее время.",0
2019-09-07,21:33,Лоза: Хабиб должен придушить Порье,"Поединок между бойцами прокомментировал российский музыкант.<img src=""//static.zakon.kz/uploads/posts/2019-09/pic_690/2019090721333426163_inx960x640.jpg"">
Российский музыкант Юрий Лоза поделился ожиданиями от предстоящего титульного поединка российского чемпиона UFC Хабиба Нурмагомедова и временного чемпиона организации Дастина Порье, сообщает Zakon.kz со ссылкой на ""Чемпионат"". - К сожалению, не смогу посмотреть бой, буду на концерте. Но потом в записи посмотрю. Хабиб должен победить, но уверенным в этом быть нельзя. Против него выходит не мальчик для битья. В этом виде спорта одно неосторожное движение может все решить. Сколько раз уже ставили на того же Федора Емельяненко, но пропускает один удар — и нет человека, а дальше уже добивают. В этом весе один пропущенный удар может все решить. Да, Хабиб готов, он пойдет в партер, но даже борцы проигрывали по неосторожности. Ему надо доказывать, у него запредельный настрой. Это может сыграть ему на руку, потому что, когда глаза горят, человека не свалить. - Будем надеяться, что наш парень победит. Должен придушить. Главным спортсменом России я бы его не назвал. У нас много видов спорта, где мы имеем хороших спортсменов. Пловцы выигрывают, легкоатлеты, футболисты в гостях обыгрывают Шотландию, хоккей — отдельная тема. Одного лучшего выбрать тяжело, - прокомментировал Юрий Лоза. Поединок Нурмагомедова и Порье состоится 7 сентября на турнире в Абу-Даби.",0
2019-09-07,21:06,"""Сарыарка"" обыграла ""Ермак"" на домашнем льду","Команда из Ангарска проиграла по буллитам.<img src=""//static.zakon.kz/uploads/posts/2019-09/pic_690/2019090721062860873_500_5d73b411165f3.jpg"">
Вечером в субботу, 7 сентября, в Караганде на домашнем льду хоккейный клуб ""Сарыарка"" обыграл по буллитам гостей из Ангарска - ХК ""Ермак"", передает Zakon.kz. На третьей минуте россиянин Севостьянов открыл счет. Он стал равным спустя несколько минут благодаря успешно проведенной шайбе Бирюкова. Во втором периоде забил Дмитрий Михайлов. При равном счете 2:2 (после шайбы Дельнова) команды вышли в овертайм. По буллитам хозяева стали победителями. 9 сентября карагандинская ""Сарыарка"" на своем льду принимает ханты-мансийскую ""Югру"". Сарыарка (Караганда) - Ермак (Ангарск) 3:2 Б (1:1, 1:1, 0:0, 0:0, 1:0) 0:1 - Севостьянов (Казаковцев) - 02:42 ГБ 1:1 - Бирюков (Сиксна, Воробьев) - 007:49 ГБ 2:1 - Михайлов - 31:43 2:2 - Дельнов (Тымченко) - 37:40 ГБ 3:2 - Бирюков - 65:00 Б Вратари: Рейзвих - Никитин",0
2019-09-07,20:41,В Уральске мать и сына обнаружили мертвыми,"Пожилая женщина и ее сын проживали в частном доме.<img src=""//static.zakon.kz/uploads/posts/2019-09/pic_690/2019090720395914766_img-20190907-wa0037.jpg"">
Мертвые тела жительницы Уральска и ее сына были обнаружены 7 сентября в 16.30, сообщает Zakon.kz со ссылкой на ""Мой ГОРОД"". По словам соседей, которые обнаружили трупы, пожилая женщина со своим сыном инвалидом жили вдвоем в частном доме по улице Циолковского. - Это были добрые и отзывчивые люди. Мы очень тесно с ними общались, каждую субботу их по-соседски приглашали к себе в баню, вот и сегодня я пошла их позвать, а тут такое. Жаль, очень жаль, - рассказала соседка Ирина. Начальник управления полиции города Уральск Мирлан Айкенов отметил, что сообщение о том, что в доме были обнаружены трупы, поступило в 16.30. - Обнаружены тела женщины 1934 года рождения и мужчины 1959 года. На месте работают криминалисты, - пояснил Айкенов. - По какой причине наступила смерть - покажет экспертиза. Однако, со слов очевидцев, в доме было вскрыто окно. ",0
2019-09-07,20:29,Премьер-министр РК совершил рабочую поездку в Москву,"Главы Правительств двух стран обсудили актуальные вопросы стратегического партнерства и перспективы дальнейшего наращивания торгово-экономического, инвестиционного и межрегионального сотрудничества.<img src=""//static.zakon.kz/uploads/posts/2019-09/pic_690/2019090720290438288_02_10.jpg"">
7 сентября премьер-министр РК Аскар Мамин в рамках рабочего визита в Москву провел встречу с Председателем Правительства РФ Дмитрием Медведевым, передает Zakon.kz со ссылкой на официальный сайт primeminister.kz. Главы Правительств двух стран обсудили актуальные вопросы стратегического партнерства и перспективы дальнейшего наращивания торгово-экономического, инвестиционного и межрегионального сотрудничества. Аскар Мамин также провел отдельные переговоры с генеральным директором ""Российского фонда прямых инвестиций"" К.Дмитриевым, председателем правления ""Внешэкономбанка"" И.Шуваловым, главами ОАО ""Российские железные дороги"" О.Белозеровым и холдинга ""Росгеология"" С.Горьковым. Были обсуждены потенциал наращивания инвестиционного сотрудничества, реализации совместных инфраструктурных проектов, развития рынка электронной коммерции и взаимодействия в рамках ЕАЭС. Премьер-Министр РК Аскар Мамин в составе делегации Первого Президента Казахстана – Елбасы Нурсултана Назарбаева принял участие в торжественной церемонии открытия отреставрированного павильона ""Казахстан"" на ВДНХ.",0
2019-09-07,20:23,Изнасиловали и оставили на помойке: что говорят в полиции,"Уголовное дело с участием несовершеннолетней находится на контроле.<img src=""//static.zakon.kz/uploads/posts/2019-09/pic_690/2019090720225482442_whatsapp-image-2019-09-07-at-20-19-12.jpg"">
В полиции Алматы прокомментировали ход расследования уголовного дела с участием 14-летней девушки, передает Zakon.kz со ссылкой на пресс-службу ведомства. Представители органов внутренних дел рассказали, что после получения сигнала на пульт ""102"" данный факт был зарегистрирован в едином реестре досудебного расследования по ст.122 УК РК. На место происшествия выехала следственно-оперативная группа, были подтянуты экипаж дорожно-патрульной полиции, инспектор ювенальной полиции, руководство районного отдела полиции, а также представитель прокуратуры района. Сразу же были установлены и допрошены двое знакомых девушки, которые проживают в этом же районе. В своих показаниях они сообщили, что обнаружили гражданку А. около детской площадки в нетрезвом состоянии и пытались помочь ей. Эти доводы тщательно будут проверены. - В ходе проведения первичных следственных действий у вышеуказанных молодых людей были изъяты образцы биологических веществ, проведено медицинское освидетельствование"", - сообщил заместитель начальника ДП города Алматы полковник полиции Санжар Адилов. В рамках досудебного расследования в тот же день путем использования средств видеофиксации были допрошены все свидетели и очевидцы, которые находились на месте происшествия. В ходе проведения первичного медицинского осмотра у 14-летней гражданки А. телесных повреждений не обнаружено. В настоящее время назначены соответствующие экспертизы, по результатам которых станут известны более подробные обстоятельства дела.  Расследование данного уголовного дела поручено опытному следователю Следственного Управления ДП Алматы. Ход расследования данного уголовного дела находится на контроле руководства МВД и Департамента полиции. Обеспечена его полнота, объективность и всесторонность.",0
2019-09-07,20:02,Казахстанца подозревают в нападении на главу ЦИК России,"Задержанный не знал, что пробрался в дом Эллы Памфиловой.<img src=""//static.zakon.kz/uploads/posts/2019-09/pic_690/2019090720021651747_ed3rgncwkamctom.jpg"">
Подмосковные полицейские задержали подозреваемого в нападении на главу Центральной избирательной комиссии России Эллу Памфилову, им оказался уроженец одной из республик Средний Азии. Об этом ТАСС сообщила официальный представитель МВД РФ Ирина Волк. - Сотрудниками подмосковной полиции в результате оперативно-розыскных мероприятий в кратчайшие сроки задержан подозреваемый в разбойном нападении на дом председателя ЦИК РФ Эллы Памфиловой. Им оказался уроженец одной республик Средней Азии 1983 года рождения. В ближайшее время он будет доставлен в следственные органы, - сказала представитель МВД. Тем временем издание Лента.ру в своем Twitter-аккаунте утверждает, что задержанный является казахом.  Уточнение: подозреваемый оказался казахом. Кстати, его проверяют по множеству других похожих дел. Жил он в лесу, и даже задержали его в шалаше — вместе с тем самым электрошокером и кучей вещей, которые он уже стащил у других людей — Лента.ру (@lentaruofficial) September 7, 2019 Информацию подтверждает и телеканал РЕН ТВ. По сведениям канала, в нападении на Памфилову подозревают 36-летнего Башита Карабалаева. Его задержали в подмосковном лесу, где он проживал - постоянного места жительства у него не было. В Россию мужчина приехал из Казахстана несколько лет назад ради заработков. Однако у него украли паспорт, а затем - обманули с зарплатой. С тех пор он проживал на улице. В ночь на пятницу неизвестный проник в дом главы ЦИК, который находится в подмосковной Истре, и напал на нее с электрошокером. По данному факту возбуждено уголовное дело о разбое, ход его расследования взяло на контроль руководство МВД России. В свою очередь источник в правоохранительных органах сообщал ТАСС, что основной версией причины нападения стало ограбление, из дома ничего похищено не было, а грабитель действовал по наводке и, по предварительной информации, не знал, кто является хозяйкой дома. Позже Генпрокуратура передала уголовное дело о нападении из полиции в центральный аппарат Следственного комитета РФ.",0
2019-09-07,19:21,Похищение ребенка в Карагандинской области прокомментировала полиция,"Мальчика ищут все полицейские и волонтеры региона.<img src=""//static.zakon.kz/uploads/posts/2019-09/pic_690/2019090719214029112_police-378255_960_720.jpg"">
Полиция Карагандинской области дала пояснения по похищению трехлетнего ребенка в Шетском районе региона, передает Zakon.kz со ссылкой на пресс-службу ведомства. 5 сентября в дежурную часть отдела полиции Шетского района поступило сообщение от 22-летней жительницы села Бурма о том, что знакомый 23-летний мужчина из-за неприязненных отношений возле одного из магазинов насильно выхватил из рук заявительницы ее малолетнего сына и скрылся в неизвестном направлении. По данному факту незамедлительно был ориентирован весь личный состав органов внутренних дел области. В настоящее время проводятся оперативно-розыскные мероприятия, в которых задействованы свыше 200 сотрудников полиции и волонтеры во главе с начальником ДП Карагандинской области полковником полиции Файзуллиным Ерланом Жумасеитовичом для установления местонахождения подозреваемого и несовершеннолетнего. Зарегистрировано уголовное дело по ст. 125 ч.2 п.5 УК РК.",0
2019-09-07,19:09,"Путин предложил переименовать ""Байтерек"" в честь Назарбаева","Экс-президент Казахстана предложил свой вариант названия.<img src=""//static.zakon.kz/uploads/posts/2019-09/pic_690/2019090719092681768_755530760718644.jpg"">
Идею назвать космический ракетный комплекс ""Байтерек"" в честь первого президента Казахстана Нурсултана Назарбаева озвучил глава России Владимир Путин, передает РИА Новости. Елбасы прибыл в ночь на 7 сентября в Москву для участия в Дне города. Назарбаев и Путин посетили реконструированный павильон ""Казахстан"" на ВДНХ. В ходе экскурсии глава Роскосмоса Дмитрий Рогозин и министр цифрового развития, инноваций и аэрокосмической промышленности Казахстана Аскар Жумагалиев доложили о процессе создания комплекса. Путин спросил, почему комплекс носит такое название. Назарбаев пояснил, что ""Байтерек"" означает ""древо жизни"", и рассказал казахстанскую легенду, связанную с этим образом. - Давайте ""Нурсултан"" назовем. Вы же делали этот проект, - предложил Путин. Назарбаев ответил, что проект реализуется ""благодаря партнерству России и Казахстана, он поднимает на совершенно новый уровень космическую отрасль"". Экс-президент Казахстана предложил свой вариант названия: - ""Нурсултан"" - нет. Как-то по-другому назовите. ""Назарбаев"" назовите. - Хорошо, договорились, - ответил с улыбкой Путин. Премьер-министр Дмитрий Медведев, который вместе с Путиным и Назарбаевым осматривал новый павильон, отметил, что ""проект надо реализовать качественно - с таким именем"". Также сообщается, что у павильона гостей встретили девочки в национальных казахских костюмах и подарили им цветы. Тут же Путин и Назарбаев посмотрели краткое театрализованное представление, а затем заглянули в стоящую у входа юрту, где развернута выставка ремесел и сельскохозяйственная ярмарка. Организаторы выставки преподнесли Путину, Медведеву и Назарбаеву по яблоку популярного в Казахстане сорта ""апорт"". Казахстан и Россия подписали соглашение о создании нового стартового комплекса ""Байтерек"" на Байконуре 22 августа 2018 года. Сам проект был инициирован еще в 2004 году. КРК ""Байтерек"" предназначен для запусков ракет ""Союз-5"". Первый запуск с нового стартового комплекса предполагается осуществить в 2022 году. Ранее Казахстан несколько раз переносил сроки начала финансирования проекта. В 2017 году ""Казкосмос"" взял паузу для дополнительной проработки вопроса. Затем датой модернизации была названа осень 2018 года. В мае 2019 года Казахстан заявил, что финансирование проекта начнут до конца 2019 года, а затем снова сдвинул сроки. В 2017 году ориентировочная стоимость КРК ""Байтерек"" оценивалась следующим образом: 500 миллионов долларов на создание ракеты-носителя (оплачивает Россия), и 245 миллионов долларов - на модернизацию наземной инфраструктуры (эти затраты берет на себя Казахстан).",0
2019-09-07,18:25,Женщины больше страдают от использования смартфонов - ученые,"Прекрасной половине человечества специалисты советуют не держать гаджеты низко во время переписки и просмотра контента.<img src=""//static.zakon.kz/uploads/posts/2019-09/pic_690/2019090718244788283_woman-3083379_960_720.jpg"">
Ученые заявили, что использование смартфонов больше вредит здоровью женщин, чем мужчин. Исследования показали, что причина этого — более короткая шея у представительниц прекрасного пола, пишет Лайф со ссылкой The Daily Mail. Электронные устройства заставляют женщин почти касаться подбородком груди. Мужчины, которые, как правило, имеют более длинные шеи из-за своего роста, сгибают их в верхней части. Выводы ученые сделали, изучив рентгеновские снимки множества людей, использующих электронные гаджеты. — Наш главный совет людям состоит в том, чтобы не проводить часы, глядя вниз на планшет или мобильный телефон, — заявил автор исследования доктор Клэр Терхьюн с факультета антропологии Университета американского штата Арканзас. С американскими врачами согласны в Британской ассоциации хиропрактики. Там приводят статистику, что минимум каждый пятый человек испытывает боли в спине из-за использования смартфона. Недавно влияние гаджетов на здоровье изучили и ученые из Малайзии. Там уверены, что ежедневное ""залипание"" в телефоне грозит онемением мышц, скованностью, болью в области большого пальца, запястья, шеи и спины. ",0
